White,47.095,Female
Black,70.4804,Female
Black,85.4724,Female
White,87.92,Female
White,80.61,Female
AI/AN,58.23546667,Female
White,90.96,Male
Other,68.8,Male
Black/White,71.3196,Male
White,69.39996667,Male
White,63.6594,Male
White,74.52,Female
White,67.34,Male
White,29.15,Male
White,79.46,Female
White,23.65,Female
Black,90.4644,Female
Black,59.2674,Male
White,91.83,Male
Black/White,72.67,Female
White,99.43,Male
White,70.58183333,Male
White,89.9752,Male
White,96.71,Female
White,41.68,Male
White,54.347,Male
White,76.72,Female
White,92.44,Female
Black/White,99.06,Male
White,40.69,Male
Asian,72.4754,Female
AIAN/White,48.471995,Male
White,99.21,Female
White,49.76,Female
White,51.3298,Male
White,97.46,Female
Black,85.43395,Female
White,26.29,Male
White,84.85,Male
Other,99.05,Female
White,75.61,Female
White,98.3,Female
White,83.08,Female
White,48.06,Female
White,94.89,Female
White,72.87775,Female
White,0,Male
White,79.82,Female
AIAN/White,71.23,Female
White,80.61,Female
White,58.4842,Female
White,55.1236,Female
White,79.4732,Male
White,69.2144,Female
White,41.5,Female
White,79.5,Female
Black,69.31,Male
Black,96.87,Male
Black,91.95453333,Female
Black,88.83,Male
Black,57.7478,Male
Black,94.83,Female
AIAN/White,59.77,Female
White,98.11,Female
White,25.66,Male
Black,83.9162,Female
Black,99.34,Female
Black,88.5424,Female
White,98.83,Female
White,59.36,Male
Black,3.66,Female
Black,83.53,Female
Black,68.7006,Male
Black,65.5388,Male
White,67.53,Female
White,54.0784,Female
White,95.46,Male
AI/AN,23.8,Female
White,72.78409,Female
White,64.55393333,Male
White,45.87615,Female
White,41.8168,Female
White,99.96,Male
White,44.95,Female
Asian,0,Female
White,88.67,Female
White,81.71,Female
White,92.75,Female
Black,99.67,Male
AI/AN,98.08,Female
White,94.94,Female
White,96.28,Female
White,74.94,Male
White,73.553,Female
White,93.02,Female
White,23.44,Female
Black/White,33.28,Female
White,93.85,Female
Black/White,90.3088,Female
White,67.8508,Female
White,72.1342,Female
White,95.38,Male
Black,75.7548,Male
White,56.68,Male
AIAN/White,49.0786,Male
Black,96.75,Female
Asian,76.4426,Female
Black,66.662,Female
White,5.05,Male
White,62.19,Female
White,53.32,Female
AIAN/White,83.183,Male
White,65.0922,Male
White,84.44,Female
White,56.72,Female
White,61.2,Female
White,13.06,Male
AI/AN,79.9884,Male
White,5.27,Female
White,87.9506,Female
White,65.16,Female
AI/AN,97.37,Male
AI/AN,1.2,Male
White,39.62,Female
White,50.2604,Male
White,84.06,Female
White,0.8,Male
White,56.9,Female
Black,77.42,Female
White,71.8,Female
White,96.4,Female
White,24.37,Female
Black/White,85.9,Female
Black,52.97,Female
White,89.01,Female
Other,95.6,Female
White,87.2,Male
White,78.2534,Female
White,83.22,Female
AIAN/White,74.35,Female
White,99.46,Female
Black,98.43,Female
Asian,0.06,Male
White,90.64,Male
White,91.31,Male
White,29.37,Male
NH/OPI,67.9992,Female
White,45.1414,Female
White,65.1328,Male
White,85.11,Male
White,91.91,Female
Black,98.4,Female
White,42.53,Female
White,62.4902,Female
White,84.66,Female
White,96.68,Female
AIAN/White,71.45,Female
White,91.91,Female
White,87.2802,Female
White,15.53,Female
AIAN/White,35.44,Female
White,70.84,Female
Asian,64.946,Male
White,99.19,Male
White,0.3,Male
White,94.57,Female
Black,11.33,Female
White,69.82,Male
White,88.73,Female
Other,98.29,Female
Black,82.401,Female
White,46.27,Male
White,80.1,Female
White,91.89,Male
White,86.38,Female
Other,69.82043333,Female
Black,55.2374,Female
White,23.9,Female
White,94.02,Female
White,25.72,Female
Black/White,92.01,Female
White,80.1726,Female
White,76.7616,Male
AIAN/White,68.83,Male
AIAN/White,56.9558,Female
AI/AN,72.9004,Female
Black/White,82.3908,Male
White,39.62993333,Male
White,91.66,Female
White,54.7664,Male
White,76.0046,Female
White,79.24701667,Female
White,0,Female
White,62.6722,Female
White,94.97,Female
White,97.78,Female
White,53.42828333,Male
Black,16.77,Female
White,94.31,Female
White,91,Female
White,81.6344,Female
White,10.77,Male
White,72.2977,Male
White,59.1218,Female
AIAN/White,89.96,Male
Black,68.5738,Female
Black,88.15,Female
Black,77.1292,Male
Black,67.3692,Female
White,49.8926,Male
White,74.2698,Male
Black,60,Female
Black,89.47215,Male
Black,89.33,Female
Black,66.6188,Female
Black,61.658,Male
NH/OPI,80.6572,Female
Black/White,72.8,Female
Black,93.12,Female
White,83.92,Female
Black,55.56,Female
White,89.96,Female
White,78.34465,Male
Black,82.046,Female
White,44.35,Female
White,38.993,Female
Other,97.12,Male
Black,89.36,Male
White,81.323,Female
Black,52.22505,Female
Black,71.79,Male
White,15.84,Male
White,69.87,Male
Other,75.9826,Female
White,50.7762,Male
Other,45.85,Female
Black,33.4021,Male
White,83.65964,Male
Black,78.8604,Female
Black,70.25,Female
Other,90.79,Female
Black,84.5168,Male
White,52.77,Female
Black,96.56,Female
Black,54.05,Male
White,83.92,Female
White,41.86,Female
Other,52.0336,Female
AIAN/White,78.84,Female
White,59.3524,Male
Black,91.82,Female
Black,80.13,Female
Other,38.29,Female
Black,87.2,Female
Black,3.97,Male
White,11.9,Female
White,57.357,Female
White,19.13,Female
Black,90.5,Male
White,47.79,Female
Other,58.3302,Female
White,66.95,Male
Black,85.85,Female
Black,65.02,Male
White,86.06,Female
White,98.11,Female
White,78.79165714,Female
White,55.3106,Female
White,72.3,Male
White,83.07,Female
White,69.6,Female
White,11.44,Female
White,92.1,Female
NH/OPI,88.31,Female
White,1.65,Male
Black,53.66,Female
White,57.73,Female
Asian,19.06,Female
Other,12.61,Female
White,22.85,Female
White,89.42,Female
White,50.4982,Male
Black,66.5974,Female
NH/OPI,72.32,Male
White,95.67,Female
White,88.7,Female
White,93.33,Female
White,52.41,Female
White,71.9,Female
White,11.02,Male
White,0.01,Male
White,63.58513333,Male
White,79.13,Female
White,74.3272,Female
White,38.4,Male
White,91.4822,Female
White,97.48,Female
White,58.75,Female
White,83.02306667,Female
Asian,82.77,Female
White,32.13,Male
Black,92.0062,Male
White,47.13,Female
White,83.96,Female
White,69.88,Female
White,97.72,Female
White,65.5,Female
White,33.4196,Female
AIAN/White,80.39,Female
White,99.41,Female
AI/AN,26.67,Male
White,99.05,Male
Black,39.9,Female
White,74.2534,Male
White,60.2964,Female
Other,6.33,Female
Asian,8.88,Male
White,96.21,Female
White,55.69,Female
Black,88.25,Female
Black,96.54,Male
Black,76.4446,Male
White,87.31,Female
White,85.07,Female
White,16.41,Female
White,70.3196,Female
White,72.8228,Male
White,87.35,Male
White,16.7,Male
White,33.1,Male
White,67.3448,Female
White,27.78,Female
White,84.25,Female
White,75.97,Female
Black,92.99,Female
White,77.77,Female
Black,96.92,Female
Black,49.5048,Female
White,90.01,Female
White,49.64193333,Male
White,51.94,Female
White,74.22,Female
White,43.3578,Female
White,34.1,Female
Other,93.58,Female
NH/OPI,84.992,Male
White,35.44,Female
Other,99.59,Female
White,70.9452,Male
White,94.3,Female
Black,61.7256,Male
Black/White,38.97,Male
Black/White,89.18,Female
Black/White,99.31,Female
White,1.37,Male
White,38.4264,Female
Other,98.84,Male
White,63.745,Male
White,80.8106,Female
White,15.84,Male
Black/White,63.1488,Male
White,92.48,Male
